File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Tissue Type	Tumor Descriptor	Specimen Type	Preservation Method
0ed018af-4ccf-4aea-adfa-527c6bc25c5c	7b06b900-c6a4-4a44-a5e1-b1dbcac11812.rna_seq.transcriptome.gdc_realn.bam	Sequencing Reads	Aligned Reads	TCGA-MESO	TCGA-NQ-A638	TCGA-NQ-A638-01A	Tumor	Primary	Solid Tissue	Unknown
86ba3309-5538-4745-9f30-9fd550dff7cb	e700ff12-b6ed-4f1d-87cc-89aef5d8be8b.rna_seq.transcriptome.gdc_realn.bam	Sequencing Reads	Aligned Reads	TCGA-MESO	TCGA-TS-A8AS	TCGA-TS-A8AS-01A	Tumor	Primary	Solid Tissue	OCT
64fea002-580e-4e3d-843d-c8bec9ccd394	f1183765-f532-499a-aed8-fdd39156a67b.rna_seq.transcriptome.gdc_realn.bam	Sequencing Reads	Aligned Reads	TCGA-MESO	TCGA-TS-A7P1	TCGA-TS-A7P1-01A	Tumor	Primary	Solid Tissue	OCT
e9722de9-8304-4289-a81e-b985822ca888	d69ff3b7-f0f0-4a78-b5ce-b0b4db560d5c.rna_seq.transcriptome.gdc_realn.bam	Sequencing Reads	Aligned Reads	TCGA-MESO	TCGA-3H-AB3X	TCGA-3H-AB3X-01A	Tumor	Primary	Solid Tissue	Unknown
68df72e2-38f2-499b-b6de-0dc07d9f83e5	7fbe42af-819b-49e8-98c6-741188a25a0a.rna_seq.transcriptome.gdc_realn.bam	Sequencing Reads	Aligned Reads	TCGA-MESO	TCGA-UD-AABZ	TCGA-UD-AABZ-01A	Tumor	Primary	Solid Tissue	OCT
e488157b-f416-485c-8b57-e358b9fca655	e8ef0c44-d4f6-4541-8623-13fbc21eb202.rna_seq.transcriptome.gdc_realn.bam	Sequencing Reads	Aligned Reads	TCGA-MESO	TCGA-TS-A7P7	TCGA-TS-A7P7-01A	Tumor	Primary	Solid Tissue	OCT
9c1b08a7-a921-4491-9765-d182182464f1	1f628ca5-8c82-485b-9d0c-294269952c7e.rna_seq.transcriptome.gdc_realn.bam	Sequencing Reads	Aligned Reads	TCGA-MESO	TCGA-LK-A4NZ	TCGA-LK-A4NZ-01A	Tumor	Primary	Solid Tissue	OCT
c81375d5-3cb2-4e08-aafa-c53fa101abbb	a46f7127-9855-4904-ad46-4a05dca69192.rna_seq.transcriptome.gdc_realn.bam	Sequencing Reads	Aligned Reads	TCGA-MESO	TCGA-TS-A7PB	TCGA-TS-A7PB-01A	Tumor	Primary	Solid Tissue	OCT
e557b32d-c35d-4c8f-88cb-fbbaeeab344e	c557ca91-4c61-4ad1-8055-957ac5e06055.rna_seq.transcriptome.gdc_realn.bam	Sequencing Reads	Aligned Reads	TCGA-MESO	TCGA-SH-A7BC	TCGA-SH-A7BC-01A	Tumor	Primary	Solid Tissue	OCT
cb2132c1-f158-43bb-a961-2a6cee170ddc	e3a7e5b8-4ac0-445b-b514-9ce4c169ae2c.rna_seq.transcriptome.gdc_realn.bam	Sequencing Reads	Aligned Reads	TCGA-MESO	TCGA-3U-A98E	TCGA-3U-A98E-01A	Tumor	Primary	Solid Tissue	OCT
